Location,Cases
Buenos Aires Province,"343,000.00"
Santa Fe Province,"20,522.00"
Mendoza Province,"15,993.00"
Cordoba,"15,674.00"
Jujuy,"12,730.00"
Río Negro,"9,202.00"
Tucumán,"8,664.00"
Salta Province,"7,180.00"
Chaco Province,"6,879.00"
Neuquen,"5,761.00"
Entre Rios,"5,617.00"
La Rioja Province,"4,052.00"
Santa Cruz Province,"3,404.00"
Tierra del Fuego Province,"2,430.00"
Chubut Province,"2,278.00"
Santiago del Estero Province,"2,049.00"
Corrientes,789.00
San Luis Province,585.00
La Pampa,463.00
San Juan Province,445.00
Catamarca Province,136.00
Formosa Province,111.00
Misiones Province,66.00
