City,log_numbers,Total_numbers
Buenos Aires,12.74447355,"342,653"
Córdoba,9.659758568,"15,674"
Catamarca,4.912654886,136
Chaco,8.836228572,"6,879"
Chubut,7.731053144,"2,278"
Ciudad de Buenos Aires,12.15773813,"190,563"
Corrientes,6.670766321,789
Entre Ríos,8.633552993,"5,617"
Formosa,4.709530201,111
Jujuy,9.451716692,"12,730"
La Pampa,6.137727054,463
La Rioja,8.306965865,"4,052"
Mendoza,9.679906405,"15,993"
Misiones,4.189654742,66
Neuquén,8.65886635,"5,761"
Río Negro,9.127176131,"9,202"
Salta,8.879054662,"7,180"
San Juan,6.098074282,445
San Luis,6.371611847,585
Santa Cruz,8.13270649,"3,404"
Santa Fe,9.92925276,"20,522"
Santiago del Estero,7.625107148,"2,049"
Tierra del Fuego,7.795646536,"2,430"
Tucumán,9.066931789,"8,664"
